Grund,Quelle,Validierung,Seiten
Seite mit Weiterleitung,Website,Fehlgeschlagen,14
Alternative Seite mit richtigem kanonischen Tag,Website,Fehlgeschlagen,8
Nicht gefunden (404),Website,Nicht gestartet,5
"Durch ""noindex""-Tag ausgeschlossen",Website,Nicht gestartet,1
Gecrawlt – zurzeit nicht indexiert,Google-Systeme,Nicht gestartet,5
Duplikat – Google hat eine andere Seite als der Nutzer als kanonische Seite bestimmt,Google-Systeme,Nicht gestartet,1
Duplikat – vom Nutzer nicht als kanonisch festgelegt,Website,Nicht zutreffend,0
Gefunden – zurzeit nicht indexiert,Google-Systeme,Bestanden,0
